resume_text,job_description_text,label
"Software engineer with experience in Python, SQL, REST APIs, and backend development. Worked with data processing and cloud services.","Looking for a backend engineer skilled in Python, SQL, API development, and data handling.",1
"Computer science graduate familiar with machine learning basics, Python programming, and data analysis.","Seeking an entry-level machine learning engineer with Python and data analysis skills.",1
"Frontend developer experienced in React, HTML, CSS, and UI design.","Backend developer role requiring Python, databases, and server-side development.",0
"Data analyst skilled in Python, pandas, data visualization, and statistics.","Hiring a data analyst with experience in Python, pandas, and statistical analysis.",1
"Java developer with experience in Spring Boot, microservices, and REST APIs.","Machine learning engineer position requiring Python and ML modeling experience.",0
"Graduate student with coursework in machine learning, neural networks, and Python programming.","Looking for a junior machine learning engineer with ML fundamentals and Python skills.",1
"Backend engineer experienced in C#, ASP.NET, SQL Server, and cloud deployment.","Frontend UI engineer needed with strong JavaScript and CSS skills.",0
"Software engineer with experience in data preprocessing, feature engineering, and ML model evaluation.","Machine learning role requiring experience in data preparation and model evaluation.",1
"Web developer focused on HTML, CSS, JavaScript, and responsive design.","Data science position requiring Python, statistics, and machine learning knowledge.",0
"Entry-level engineer with Python programming skills and interest in machine learning.","Junior AI/ML engineer role requiring Python and eagerness to learn ML.",1
"Systems administrator experienced in Linux, networking, and infrastructure support.","Machine learning engineer role focused on model training and evaluation.",0
"Data science enthusiast with experience in Python, NumPy, pandas, and basic ML models.","Looking for a data scientist with Python and machine learning experience.",1
"Mobile application developer working with Android and Kotlin.","Backend data engineer role requiring Python and SQL expertise.",0
"Computer science graduate with hands-on projects in NLP and text classification.","AI engineer role focused on NLP and text-based machine learning.",1
"QA engineer experienced in manual and automated testing.","Machine learning research assistant role requiring ML experimentation.",0
"Backend-focused engineer with experience building APIs and handling structured data.","Software engineer role requiring backend API development.",1
"Student with strong math background and interest in AI and data science.","Machine learning internship requiring math and Python fundamentals.",1
"Graphic designer skilled in Photoshop and visual branding.","Data analyst role requiring SQL and Python.",0
"Python developer with experience in data cleaning, analysis, and ML pipelines.","ML engineer role requiring data preprocessing and Python expertise.",1
"IT support specialist handling hardware, software installation, and troubleshooting.","AI engineer role focused on model development.",0
"Junior software engineer familiar with Git, Python, and basic ML algorithms.","Entry-level ML engineer role requiring foundational ML knowledge.",1
"DevOps engineer with experience in CI/CD pipelines and cloud infrastructure.","Data scientist role focused on predictive modeling.",0
"Computer science graduate with experience training classification models using scikit-learn.","Machine learning role requiring experience with supervised learning.",1
"Game developer experienced in Unity and C# scripting.","Data engineer role focused on ETL and data pipelines.",0
"Python programmer with interest in natural language processing and text analysis.","NLP-focused ML engineer role.",1
"Network engineer experienced in routing, switching, and firewalls.","Machine learning engineer role requiring Python and data modeling.",0
"Entry-level data analyst with SQL, Excel, and Python experience.","Business data analyst role requiring data analysis skills.",1
"Web application developer focused on frontend frameworks.","Backend ML pipeline engineer role.",0
"Student who completed coursework in statistics, probability, and machine learning.","Junior ML engineer role requiring statistical foundations.",1
"Technical writer focused on documentation and user guides.","AI engineer role focused on model development.",0
